name,time,data,msg_type
Left_Dobot_idle,1555595233898629312,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595234148657186,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595234398715558,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595234648710891,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595234898711143,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595235148691927,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595235398705733,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595235648626551,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595235898721648,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595236148867442,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595236398719571,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595236648610770,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595236898757150,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595237149011535,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595237398704709,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595237649071469,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595237898708959,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595238148625987,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595238398644301,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595238648712219,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595238898726085,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595239148722169,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595239399571582,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595239648651773,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595239898502749,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595240148482808,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595240398668726,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595240648689108,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595240898631568,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595241148737409,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595241398819607,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595241648511333,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595241899088637,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595242148951371,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595242398831380,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595242648739149,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595242898596947,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595243148723495,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595243399389891,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595243648591453,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595243898546444,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595244148694784,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595244398647959,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595244648805265,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595244898679274,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595245148616665,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595245398604970,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595245648662155,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595245898655072,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595246148538419,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595246405496191,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595246650010358,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595246898607826,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595247148650549,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595247398660179,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595247648706011,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595247898669390,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595248148604535,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595248398730755,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595248649692449,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595248899070804,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595249148724944,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595249398447950,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595249649093319,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595249898682746,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595250148636500,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595250398666564,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595250648749826,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595250901399574,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595251151172151,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595251401025583,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595251651029851,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595251901045842,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595252151046201,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595252401062331,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595252651000136,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595252901089398,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595253151054588,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595253401098963,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595253651038566,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595253901119815,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595254151171039,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595254401080987,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595254651022564,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595254901136167,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595255151054397,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595255401101731,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595255651054134,1,"""std_msgs/Bool"""
Left_Dobot_idle,1555595255901394454,1,"""std_msgs/Bool"""
